Goal,Specific,Measurable,Action-oriented,Relevant,Time-bound
Read more books,0,0,1,1,0
Finally master ZJ s part of Kitchen Sink,0,0,1,1,0
to stop being so damn perf,0,0,0,1,0
My is to help my disabled patients discover the emotional and physical therapy,1,0,0,1,0
Goals bucketlist continued,0,0,0,0,0
Eat less,0,0,1,1,0
Learn how to drive by May,0,0,1,1,1
treat people the way they treat me,0,0,1,1,0
Stop worrying about irrelevant things,0,0,1,1,0
to start a hobby do it once and never do it again,0,0,1,1,0
Watch Die Hard twice a day instead of just once,1,1,1,1,0
Time to give up tobacco,1,0,1,1,0
Theme is about trusting justice peace and love,0,0,0,1,0
To grow in christ and increase spiritually next year,0,0,0,1,1
I was going to resolve to procrastinate less but honestly whats the rush,0,0,0,1,0
My is to grow and continue to make you guys smile,0,0,1,1,0
I will cut a bitch in the face if I ever hear The Spin Doctors Two Princes again,1,1,1,1,0
Go to more shows where you will get wet is warned before hand,0,1,1,1,0
Stop watching morning national news,1,0,1,1,0
Also date women my own age,1,1,1,1,0
Avoid Game of Thrones spoilers Which will be really hard cause Im on book and seriously spoilers are EVERYWHERE,1,0,1,1,0
Stop being so nice to people,0,0,0,1,0
be happy,0,0,0,1,0
Becca ForReal TheStruggle is so true,0,0,0,1,0
Save a pit bulls life,0,0,1,1,0
I will get a decent haircut,0,0,1,1,0
lost a lot this yearno more tears for the next,0,0,0,1,1
ToDoList blogbooktours This is you all over the place actors acting success theiflist,0,0,0,1,0
Easy Stand up for your health with the takeayogabreak app,0,0,1,1,0
Inc MarlaTabaka YES lets all take calculated risks and reduce self criticism as part of our,0,0,0,1,0
I always torture myself by looking at old pictures where I was lbs thinner,0,0,0,1,0
Transfer to another College for fall,0,1,1,1,1
Newyearsresolution get a classic americanmusclecar pontiacfirebird v numbers matching,0,0,1,1,0
In I hope my years my New Years resolution Make it the best memorable moment to be amazing NewYear,0,0,0,1,0
My Is To Stay Positive,0,0,0,1,0
stop smoking,0,1,1,1,0
Get more stuff off craigslist,0,0,1,1,0
Some of yall waiting for a new year for change when I been working on change NewYearsEve,0,0,0,1,0
stop drinking smoking all that So Im getting fucked up before oclock hit,0,1,1,1,0
wwwblogs My is to stop being such a miserable shitPffft yeah right hu,0,0,0,1,0
become pregnant before my wedding,0,0,1,1,1
be at Wrigley when the Cubs win the worldseries this year,1,1,1,1,1
