Goal,Specific,Measurable,Action-oriented,Relevant,Time-bound,
I want to be more productive at work.,No,Yes,Yes,Yes,No,
I want to get better at cooking.,No,No,Yes,Yes,No,
I want to exercise more regularly.,No,Yes,Yes,Yes,No,
I want to save money.,No,Yes,Yes,Yes,No,
I want to travel more.,No,No,Yes,Yes,No,
I want to learn a new hobby.,No,No,Yes,Yes,No,
I want to be happier.,No,No,Yes,Yes,No,
I want to be more successful.,No,No,Yes,Yes,No,
I want to learn a new skill.,No,No,Yes,Yes,No,
I want to be more organized.,No,No,Yes,Yes,No,
I want to complete a certification course in project management within the next 3 months.,Yes,Yes,Yes,Yes,Yes,
"I want to save $10,000 for a down payment on a house in the next year by budgeting and cutting down on unnecessary expenses.",Yes,Yes,Yes,Yes,Yes,
I want to run a half-marathon in under 2 hours within the next 6 months by following a structured training plan and improving my running speed.,Yes,Yes,Yes,Yes,Yes,
"I want to launch a new product in the market within the next 6 months by conducting market research, designing the product, and setting up a marketing campaign.",Yes,Yes,Yes,Yes,Yes,
I want to improve my language skills by taking a language course and practicing speaking with native speakers for at least 30 minutes every day for the next 3 months.,Yes,Yes,Yes,Yes,Yes,
I want to increase my website traffic by 50% in the next 3 months through search engine optimization (SEO) and content marketing strategies.,Yes,Yes,Yes,Yes,Yes,
"I want to reduce my monthly electricity usage by 20% within the next year by using energy-efficient appliances, turning off lights when not in use, and unplugging electronic devices when not in use.",Yes,Yes,Yes,Yes,Yes,
"I want to improve my customer satisfaction ratings by 10% within the next quarter by implementing a customer feedback system, addressing customer complaints promptly, and improving service quality.",Yes,Yes,Yes,Yes,Yes,
I want to complete a coding bootcamp and build a fully functional web application within the next 3 months by dedicating 20 hours per week to coding and learning.,Yes,Yes,Yes,Yes,Yes,
I want to establish a daily meditation practice by meditating for 15 minutes every morning and evening for the next 30 days.,Yes,Yes,Yes,Yes,Yes,
I want to expand my professional network by attending at least 3 networking events per month and connecting with at least 5 new professionals on LinkedIn every week for the next 6 months.,Yes,Yes,Yes,Yes,Yes,
I want to reduce my screen time by 1 hour per day and replace it with physical exercise for the next 30 days.,Yes,Yes,Yes,Yes,Yes,
"I want to complete a home renovation project by hiring a contractor, obtaining necessary permits, and completing all the renovations within the next 3 months.",Yes,Yes,Yes,Yes,Yes,
I want to learn a new musical instrument by taking private lessons and practicing for at least 30 minutes every day for the next 6 months.,Yes,Yes,Yes,Yes,Yes,
I want to launch a social media marketing campaign to increase brand awareness and engagement by scheduling daily posts and monitoring analytics for the next 2 months.,Yes,Yes,Yes,Yes,Yes,
I want to write a book by setting aside 1 hour every day for writing and completing a chapter every week for the next 6 months.,Yes,Yes,Yes,Yes,Yes,
I want to improve my public speaking skills by joining a Toastmasters club and delivering at least 10 speeches within the next 3 months.,Yes,Yes,Yes,Yes,Yes,
Complete a 5k race within the next 2 months by following a running training plan and participating in regular races,Yes,Yes,Yes,Yes,Yes,
Improve customer service response time by 25% within the next 3 months by implementing a ticket tracking system and additional training for support staff,Yes,Yes,Yes,Yes,Yes,
Increase social media followers by 1000 within the next 6 months by posting daily engaging content and running targeted ad campaigns,Yes,Yes,Yes,Yes,Yes,
Complete a professional certification course within the next year by dedicating 2 hours per day for studying and completing all required coursework,Yes,Yes,Yes,Yes,Yes,
"Reduce personal credit card debt by $5000 within the next 6 months by creating a budget, cutting unnecessary expenses, and making regular payments",Yes,Yes,Yes,Yes,Yes,
"Launch a podcast within the next 3 months by creating a content plan, recording episodes, and setting up hosting platforms",Yes,Yes,Yes,Yes,Yes,
"Improve time management skills by using a productivity app and setting specific daily, weekly, and monthly goals",Yes,Yes,Yes,Yes,No,
Learn a new dance style by taking weekly dance lessons and practicing for at least 30 minutes every day for the next 3 months,Yes,Yes,Yes,Yes,Yes,
Reduce daily sugar intake by 50% within the next month by replacing sugary snacks with healthier alternatives and monitoring food choices,Yes,Yes,Yes,Yes,Yes,
"Complete a home organization project within the next 2 weeks by decluttering, sorting, and organizing each room in the house",Yes,Yes,Yes,Yes,Yes,
